f,a,x,y,v,x_abs,y_abs,second
3,12,0.40365681052207947,0.2902573049068451,0.9999676942825317,0.19294795542955398,0.24671870917081834,0.05051341772151899
3,11,0.4758646488189697,0.29532119631767273,0.9993617534637451,0.22746330213546753,0.2510230168700218,0.05051341772151899
4,28,0.41834113001823425,0.9092180132865906,0.932883620262146,0.19996706014871599,0.772835311293602,0.06735122362869199
4,27,0.4257217049598694,0.8892233967781067,0.6357632279396057,0.20349497497081756,0.7558398872613907,0.06735122362869199
4,24,0.431628942489624,0.5825183391571045,0.9993563890457153,0.2063186345100403,0.4951405882835388,0.06735122362869199
4,23,0.48224949836730957,0.5794889330863953,0.9982446432113647,0.23051526021957397,0.49256559312343595,0.06735122362869199
4,16,0.4949381947517395,0.5984172821044922,0.9610591530799866,0.2365804570913315,0.5086546897888183,0.06735122362869199
4,15,0.5120072960853577,0.5696591138839722,0.1698819100856781,0.24473948752880095,0.48421024680137636,0.06735122362869199
4,12,0.4033656418323517,0.2919989228248596,0.9999644756317139,0.1928087767958641,0.24819908440113067,0.06735122362869199
4,11,0.4753788709640503,0.29500478506088257,0.9992604851722717,0.22723110032081603,0.2507540673017502,0.06735122362869199
5,28,0.4194299876689911,0.9091939330101013,0.9322187304496765,0.20048753410577774,0.7728148430585862,0.08418902953586498
5,27,0.4260774552822113,0.8871167898178101,0.631693422794342,0.203665023624897,0.7540492713451385,0.08418902953586498
5,24,0.43316078186035156,0.5832259654998779,0.9992980360984802,0.20705085372924806,0.49574207067489623,0.08418902953586498
5,23,0.4840349853038788,0.5798936486244202,0.998045027256012,0.23136872297525407,0.4929096013307571,0.08418902953586498
5,16,0.49484434723854065,0.5980328321456909,0.9602598547935486,0.23653559798002244,0.5083279073238373,0.08418902953586498
5,15,0.5091604590415955,0.5686776638031006,0.16158996522426605,0.24337869942188262,0.4833760142326355,0.08418902953586498
5,12,0.4026731252670288,0.2923451364040375,0.9999608993530273,0.19247775387763977,0.24849336594343185,0.08418902953586498
5,11,0.4753149449825287,0.2944872975349426,0.9991251826286316,0.22720054370164872,0.25031420290470124,0.08418902953586498
6,28,0.42203256487846375,0.9089558124542236,0.9308832883834839,0.20173156601190567,0.7726124405860901,0.10102683544303798
6,27,0.4263463318347931,0.8848409056663513,0.6245926022529602,0.20379354661703108,0.7521147698163986,0.10102683544303798
6,24,0.4357910454273224,0.5840346217155457,0.9992614388465881,0.2083081197142601,0.4964294284582138,0.10102683544303798
6,23,0.48520562052726746,0.5803260803222656,0.9979268312454224,0.23192828661203385,0.49327716827392576,0.10102683544303798
6,16,0.494697630405426,0.5980915427207947,0.9601733684539795,0.23646546733379364,0.5083778113126755,0.10102683544303798
6,15,0.5094212889671326,0.5680311918258667,0.1558476686477661,0.24350337612628936,0.4828265130519867,0.10102683544303798
6,12,0.40264588594436646,0.2922408878803253,0.9999589920043945,0.19246473348140716,0.24840475469827653,0.10102683544303798
6,11,0.47527015209198,0.2937982678413391,0.9990441203117371,0.22717913269996642,0.24972852766513826,0.10102683544303798
7,28,0.4225347936153412,0.90843266248703,0.9206743836402893,0.2019716313481331,0.7721677631139755,0.11786464135021098
7,27,0.4261516034603119,0.8874199986457825,0.5964014530181885,0.2037004664540291,0.7543069988489151,0.11786464135021098
7,24,0.4397851824760437,0.5854378938674927,0.9992325901985168,0.2102173172235489,0.49762220978736876,0.11786464135021098
