f,a,x,y,v,x_abs,y_abs,second
3,27,0.379401296377182,0.8941278457641602,0.5061653256416321,0.181353819668293,0.7600086688995361,0.05053464566929134
3,24,0.44276896119117737,0.6018102169036865,0.9980618953704834,0.2116435634493828,0.5115386843681335,0.05053464566929134
3,23,0.48563799262046814,0.5966010689735413,0.9931991100311279,0.23213496047258378,0.5071109086275101,0.05053464566929134
3,16,0.5217692255973816,0.6619709134101868,0.9217866063117981,0.2494056898355484,0.5626752763986588,0.05053464566929134
3,15,0.5106185078620911,0.6222149133682251,0.07700284570455551,0.24407564675807952,0.5288826763629914,0.05053464566929134
3,12,0.36555030941963196,0.3278938829898834,0.999891459941864,0.17473304790258407,0.27870980054140093,0.05053464566929134
3,11,0.4268784523010254,0.32212182879447937,0.9969367384910583,0.20404790019989014,0.27380355447530746,0.05053464566929134
4,28,0.3519045114517212,0.944523811340332,0.9115761518478394,0.16821035647392274,0.8028452396392822,0.06737952755905512
4,27,0.3779448866844177,0.8956894278526306,0.5003654360771179,0.18065765583515167,0.761336013674736,0.06737952755905512
4,24,0.44457685947418213,0.6018147468566895,0.9979757070541382,0.21250773882865906,0.511542534828186,0.06737952755905512
4,23,0.4848378300666809,0.596584677696228,0.9928232431411743,0.23175248277187346,0.5070969760417938,0.06737952755905512
4,16,0.5221337080001831,0.6618547439575195,0.9244215488433838,0.24957991242408753,0.5625765323638916,0.06737952755905512
4,15,0.5106795430183411,0.6224173307418823,0.07303725928068161,0.24410482156276703,0.5290547311306,0.06737952755905512
4,12,0.3655421733856201,0.3272550106048584,0.999888002872467,0.1747291588783264,0.2781667590141296,0.06737952755905512
4,11,0.42468440532684326,0.3198232054710388,0.9967407584190369,0.20299914574623107,0.271849724650383,0.06737952755905512
5,28,0.35591667890548706,0.9433205723762512,0.909942626953125,0.17012817251682283,0.8018224865198136,0.0842244094488189
5,27,0.3783343434333801,0.8955608010292053,0.49012812972068787,0.1808438161611557,0.7612266808748245,0.0842244094488189
5,24,0.44489002227783203,0.6027824282646179,0.997897207736969,0.2126574306488037,0.5123650640249252,0.0842244094488189
5,23,0.48491621017456055,0.5972709655761719,0.9925362467765808,0.23178994846343995,0.5076803207397461,0.0842244094488189
5,16,0.5222856998443604,0.6617093682289124,0.9272208213806152,0.24965256452560425,0.5624529629945755,0.0842244094488189
5,15,0.5120110511779785,0.6216173768043518,0.0705433115363121,0.24474128246307372,0.5283747702836991,0.0842244094488189
5,12,0.36412495374679565,0.3267105519771576,0.9998860955238342,0.17405172789096832,0.27770396918058393,0.0842244094488189
5,11,0.42471393942832947,0.3188649117946625,0.9966497421264648,0.2030132630467415,0.2710351750254631,0.0842244094488189
6,28,0.3544560372829437,0.9424323439598083,0.9115908741950989,0.1694299858212471,0.8010674923658371,0.10106929133858268
6,27,0.3787521421909332,0.8952769041061401,0.49003446102142334,0.18104352396726608,0.7609853684902191,0.10106929133858268
6,24,0.44546905159950256,0.6032671928405762,0.9978492856025696,0.21293420666456223,0.5127771139144898,0.10106929133858268
6,23,0.4849194884300232,0.5975479483604431,0.9923157691955566,0.2317915154695511,0.5079157561063766,0.10106929133858268
6,16,0.5236663222312927,0.6614342331886292,0.9293802380561829,0.2503125020265579,0.5622190982103348,0.10106929133858268
6,15,0.5123174786567688,0.6215624809265137,0.06799028813838959,0.24488775479793548,0.5283281087875367,0.10106929133858268
6,12,0.36461737751960754,0.3267316520214081,0.9998838305473328,0.1742871064543724,0.27772190421819687,0.10106929133858268
