second,a,x_abs,y_abs,v
4.0,"(11, 'left_shoulder')",426.81345558166504,243.5397183895111,0.9999767820040385
4.0,"(12, 'right_shoulder')",442.18634366989136,254.4043284058571,0.9988889118035634
4.0,"(15, 'left_wrist')",389.66924238204956,402.9075733423233,0.9743313252925873
4.0,"(16, 'right_wrist')",435.551146030426,428.1402883529663,0.0535605334987243
4.0,"(23, 'left_hip')",433.76435899734497,543.8718137741089,0.998903888463974
4.0,"(24, 'right_hip')",435.4047384262085,541.5646312236786,0.9956962088743846
4.0,"(27, 'left_ankle')",409.25707721710205,975.2065637111664,0.9848924279212952
4.0,"(28, 'right_ankle')",484.27418851852417,934.4684929847717,0.8545269151528676
5.0,"(11, 'left_shoulder')",188.27131032943726,249.71206739544868,0.9987359419465065
5.0,"(12, 'right_shoulder')",197.0437091588974,259.61746126413345,0.9966403320431709
5.0,"(15, 'left_wrist')",229.76881742477417,202.23984384094365,0.783230647444725
5.0,"(16, 'right_wrist')",189.70897257328033,263.4806957852561,0.09533144580200315
5.0,"(23, 'left_hip')",188.75096082687378,508.9553242921829,0.9987762570381165
5.0,"(24, 'right_hip')",193.71701002120972,506.3539382815361,0.9963354170322418
5.0,"(27, 'left_ankle')",256.4114499092102,903.2367664575577,0.9476115107536316
5.0,"(28, 'right_ankle')",258.5058742761612,850.7138246297836,0.709433451294899
8.0,"(11, 'left_shoulder')",217.28185962228213,258.0099955727072,0.9971907945240245
8.0,"(12, 'right_shoulder')",162.81770425684311,245.39828886004057,0.996415864018833
8.0,"(15, 'left_wrist')",279.3150422152351,382.1594616946052,0.48262938331155214
8.0,"(16, 'right_wrist')",212.9066125084372,395.41897773742676,0.45457131021163044
8.0,"(23, 'left_hip')",229.40043337204878,553.3525748112622,0.9947812381912681
8.0,"(24, 'right_hip')",179.60038072922652,556.7825944283429,0.9936517862712636
8.0,"(27, 'left_ankle')",254.34567227083093,934.9255699269912,0.7131745534784654
8.0,"(28, 'right_ankle')",169.27049496594597,981.737381289987,0.7927649266579572
9.0,"(11, 'left_shoulder')",480.307110786438,249.76326459646225,0.999125333627065
9.0,"(12, 'right_shoulder')",447.9465570449829,243.06166130304337,0.9995085398356119
9.0,"(15, 'left_wrist')",535.8853816986084,392.8948087692261,0.39601921836535137
9.0,"(16, 'right_wrist')",476.8346309661865,425.49988424777985,0.9076312164465586
9.0,"(23, 'left_hip')",491.29622650146484,558.3163096904755,0.9963657836119334
9.0,"(24, 'right_hip')",478.95498180389404,562.020783662796,0.99706529378891
9.0,"(27, 'left_ankle')",446.44496059417725,960.7921063899994,0.8670482714970906
9.0,"(28, 'right_ankle')",488.91086292266846,973.2534692287445,0.9628076533476512
10.0,"(11, 'left_shoulder')",893.8335151672363,254.09751963615417,0.9984302858511607
10.0,"(12, 'right_shoulder')",893.7084903717041,249.01981848478317,0.9999545872211456
10.0,"(15, 'left_wrist')",927.6081638336182,424.22419345378876,0.1467351132382949
10.0,"(16, 'right_wrist')",938.587438583374,411.4637750387192,0.9706477224826813
10.0,"(23, 'left_hip')",917.281156539917,562.8661344051361,0.9947271128495534
10.0,"(24, 'right_hip')",907.5036144256592,566.1410129070282,0.9973770817120869
10.0,"(27, 'left_ankle')",949.2170658111572,962.6027734279633,0.8582259078820547
10.0,"(28, 'right_ankle')",861.262487411499,968.4437599182129,0.9824902951717377
11.0,"(11, 'left_shoulder')",1305.3303260803223,259.61821871995926,0.9988355954488118
11.0,"(12, 'right_shoulder')",1352.6061515808105,255.71904909610748,0.9999591986338298
11.0,"(15, 'left_wrist')",1334.6305656433105,423.55863332748413,0.05270455442368984
11.0,"(16, 'right_wrist')",1407.8243141174316,428.96432411670685,0.9047193129857382
11.0,"(23, 'left_hip')",1332.9905586242676,555.9991321563721,0.9939619898796082
11.0,"(24, 'right_hip')",1352.3185081481934,564.7732944488525,0.9976056098937989
11.0,"(27, 'left_ankle')",1333.9267807006836,946.1695461273193,0.8421406745910645
11.0,"(28, 'right_ankle')",1325.4496688842773,977.8901009559631,0.9790592789649963
12.0,"(11, 'left_shoulder')",1698.8841819763184,266.5133203268051,0.9981193542480469
12.0,"(12, 'right_shoulder')",1779.5045051574707,249.74195551872253,0.9988616029421489
12.0,"(15, 'left_wrist')",1729.1328163146973,400.62372171878815,0.04047381561249495
