f,a,x,y,v
48,16,0.851791262626648,0.3870735466480255,0.41294237971305847
48,15,0.90118807554245,0.32749176025390625,0.8112691044807434
48,12,0.9048261046409607,0.25497499108314514,0.9986663460731506
48,11,0.9238739609718323,0.2262047976255417,0.9997060298919678
49,28,0.9132131338119507,0.8946657180786133,0.7773086428642273
49,27,0.8780043721199036,0.7437676191329956,0.9742916822433472
49,24,0.9146116971969604,0.5152239203453064,0.9974582195281982
49,23,0.9064852595329285,0.5104493498802185,0.9988356828689575
49,16,0.8473027348518372,0.3869578242301941,0.4528876841068268
49,15,0.893537163734436,0.32465696334838867,0.8239542245864868
49,12,0.8976932168006897,0.2592972218990326,0.9987924695014954
49,11,0.9210862517356873,0.22581416368484497,0.9997141361236572
50,28,0.9107103943824768,0.8840720653533936,0.7959613800048828
50,27,0.871333122253418,0.7467659711837769,0.9756811857223511
50,24,0.9065595269203186,0.5150644779205322,0.9976909160614014
50,23,0.9070265293121338,0.5105152726173401,0.9989242553710938
50,16,0.843856692314148,0.3870042860507965,0.4969332814216614
50,15,0.9232748746871948,0.32828590273857117,0.8404420614242554
50,12,0.8896778225898743,0.2637201249599457,0.9988879561424255
50,11,0.9196597337722778,0.225380077958107,0.9997375011444092
51,28,0.9105249643325806,0.8817123770713806,0.8110153675079346
51,27,0.8675869107246399,0.7805911302566528,0.9765858054161072
51,24,0.9021432399749756,0.515720546245575,0.9979005455970764
51,23,0.9058828949928284,0.5134307742118835,0.9990038275718689
51,16,0.8403924703598022,0.3871152102947235,0.5376617312431335
51,15,0.9260802865028381,0.3279159963130951,0.8553762435913086
51,12,0.8849281072616577,0.26525548100471497,0.9989725351333618
51,11,0.9178224205970764,0.22458088397979736,0.9997603297233582
52,28,0.9106153249740601,0.8820094466209412,0.8243377804756165
52,27,0.8461521863937378,0.8018906116485596,0.9777224659919739
52,24,0.8993989825248718,0.5163221955299377,0.9980916380882263
52,23,0.9033724069595337,0.5153485536575317,0.9990824460983276
52,16,0.837698221206665,0.38854819536209106,0.5767601132392883
52,15,0.9270707368850708,0.32982391119003296,0.8694028258323669
52,12,0.8793493509292603,0.26726192235946655,0.9990583062171936
52,11,0.9148578643798828,0.22470389306545258,0.9997828006744385
53,28,0.9107325673103333,0.8843202590942383,0.8360692858695984
53,27,0.8336737155914307,0.8282274603843689,0.9790559411048889
53,24,0.8970476388931274,0.5160058736801147,0.9982624053955078
53,23,0.8970919847488403,0.5142487287521362,0.9991519451141357
53,16,0.8335878252983093,0.3898339867591858,0.6123309135437012
53,15,0.9241566061973572,0.3274674415588379,0.882078230381012
53,12,0.8737378716468811,0.2666305899620056,0.9991381168365479
53,11,0.9106032252311707,0.2238486111164093,0.9998036026954651
